Id: 3 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 6 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 7 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 4 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 5 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 1 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 8 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 2 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 1 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 5 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 8 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 4 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 3 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 6 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 7 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: 2 | Applied Rules: data_cleaning.standardize_format (name, street), data_transformation.type_conversion (cost)
Id: ERROR | Applied Rules: Error processing record: mongo:27017: [Errno -2] Name or service not known, Timeout: 30s, Topology Description: <TopologyDescription id: 68289c1dd87adc35d61c8595, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('mongo:27017: [Errno -2] Name or service not known')>]>
Id: ERROR | Applied Rules: Error processing record: mongo:27017: [Errno -2] Name or service not known, Timeout: 30s, Topology Description: <TopologyDescription id: 68289c1cd87adc35d61c8592, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('mongo:27017: [Errno -2] Name or service not known')>]>
Id: ERROR | Applied Rules: Error processing record: mongo:27017: [Errno -2] Name or service not known, Timeout: 30s, Topology Description: <TopologyDescription id: 68289c1cd87adc35d61c8593, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('mongo:27017: [Errno -2] Name or service not known')>]>
